InvoiceNo,SalesRepID,OrderDate,InvoiceDate,DueDate,InvoiceAmount,AmountPaid,OutstandingAmount,PaymentStatus
INV00001,SR024,2024-10-26,2024-10-30,2024-12-29,8288.31,1817.8,6470.51,Partially Paid
INV00002,SR005,2024-09-17,2024-09-21,2024-10-21,15237.75,13121.27,2116.48,Partially Paid
INV00003,SR005,2024-11-17,2024-11-19,2025-01-18,8732.12,554.73,8177.39,Partially Paid
INV00004,SR013,2024-11-01,2024-11-05,2025-01-04,5402.58,2988.85,2413.73,Partially Paid
INV00005,SR001,2024-12-14,2024-12-15,2025-02-13,17753.37,13330.61,4422.76,Partially Paid
INV00006,SR025,2024-11-24,2024-11-27,2024-12-27,6223.25,984.26,5238.99,Partially Paid
INV00007,SR001,2025-05-03,2025-05-06,2025-07-05,15358.26,7797.11,7561.15,Partially Paid
INV00008,SR004,2025-03-21,2025-03-24,2025-05-23,10399.43,2068.56,8330.87,Partially Paid
INV00009,SR012,2025-01-25,2025-01-27,2025-03-28,19093.25,17612.26,1480.99,Partially Paid
INV00010,SR001,2024-11-02,2024-11-05,2024-12-20,879.8,817.42,62.38,Partially Paid
INV00011,SR010,2024-05-02,2024-05-03,2024-06-02,17621.19,16686.38,934.81,Partially Paid
INV00012,SR003,2025-01-09,2025-01-13,2025-02-12,19570.7,10425.43,9145.27,Partially Paid
INV00013,SR005,2024-03-06,2024-03-10,2024-05-09,3719.98,1962.94,1757.04,Partially Paid
INV00014,SR020,2024-08-04,2024-08-06,2024-10-05,15227.67,10505.08,4722.59,Partially Paid
INV00015,SR023,2024-06-08,2024-06-12,2024-08-11,13172.62,5770.93,7401.69,Partially Paid
INV00016,SR017,2024-08-19,2024-08-20,2024-09-19,4881.6,1650.4,3231.2,Partially Paid
INV00017,SR019,2024-10-10,2024-10-12,2024-12-11,4794.24,340.36,4453.88,Partially Paid
INV00018,SR021,2024-01-31,2024-02-02,2024-03-03,18155.69,15607.27,2548.42,Partially Paid
INV00019,SR003,2024-09-20,2024-09-22,2024-11-06,13545.07,2901.85,10643.22,Partially Paid
INV00020,SR005,2025-01-05,2025-01-10,2025-03-11,9717.09,7624.22,2092.87,Partially Paid
INV00021,SR014,2024-04-07,2024-04-08,2024-05-08,13350.16,4729.93,8620.23,Partially Paid
INV00022,SR014,2024-08-27,2024-08-28,2024-10-27,13242.38,8556.96,4685.42,Partially Paid
INV00023,SR002,2024-07-25,2024-07-28,2024-08-27,5348.8,1017.39,4331.41,Partially Paid
INV00024,SR015,2024-03-12,2024-03-16,2024-04-15,5931.63,1481.76,4449.87,Partially Paid
INV00025,SR003,2024-08-14,2024-08-19,2024-09-18,1486.47,1485.4,1.07,Partially Paid
INV00026,SR001,2025-05-11,2025-05-12,2025-06-11,3743.07,1817.79,1925.28,Partially Paid
INV00027,SR007,2025-03-18,2025-03-22,2025-04-21,3710.42,8,3702.42,Partially Paid
INV00028,SR013,2024-05-15,2024-05-19,2024-07-03,8748.65,8375.24,373.41,Partially Paid
INV00029,SR018,2024-12-04,2024-12-08,2025-01-07,4203.01,915,3288.01,Partially Paid
INV00030,SR002,2024-10-23,2024-10-28,2024-11-27,15085.52,862.37,14223.15,Partially Paid
INV00031,SR019,2024-09-01,2024-09-06,2024-11-05,3569.94,3429.92,140.02,Partially Paid
INV00032,SR003,2025-03-11,2025-03-13,2025-04-12,12103.18,8172.22,3930.96,Partially Paid
INV00033,SR008,2024-07-25,2024-07-26,2024-09-24,5301.2,3151.66,2149.54,Partially Paid
INV00034,SR020,2024-02-11,2024-02-15,2024-04-15,11881.61,6211.5,5670.11,Partially Paid
INV00035,SR009,2024-04-14,2024-04-17,2024-05-17,5679.48,743.32,4936.16,Partially Paid
INV00036,SR021,2024-06-02,2024-06-06,2024-07-21,18615.86,17419.5,1196.36,Partially Paid
INV00037,SR001,2024-08-22,2024-08-27,2024-10-26,19923.88,1459.64,18464.24,Partially Paid
INV00038,SR007,2024-09-16,2024-09-19,2024-10-19,18698.56,16470.89,2227.67,Partially Paid
INV00039,SR008,2024-07-08,2024-07-11,2024-08-10,9044.6,4913.19,4131.41,Partially Paid
INV00040,SR010,2024-11-09,2024-11-14,2024-12-14,13523.33,7500.07,6023.26,Partially Paid
INV00041,SR022,2024-02-23,2024-02-25,2024-04-10,2750.86,294.44,2456.42,Partially Paid
INV00042,SR018,2024-03-20,2024-03-23,2024-05-07,12294.18,8822.45,3471.73,Partially Paid
INV00043,SR007,2024-12-17,2024-12-20,2025-02-18,10026.37,9077.24,949.13,Partially Paid
INV00044,SR002,2024-02-17,2024-02-21,2024-04-06,1359.69,453.53,906.16,Partially Paid
INV00045,SR005,2024-11-22,2024-11-25,2024-12-25,14954,8249.83,6704.17,Partially Paid
INV00046,SR014,2024-10-14,2024-10-15,2024-11-14,1967.26,1737.3,229.96,Partially Paid
INV00047,SR005,2024-10-06,2024-10-07,2024-11-21,11858.94,1756.24,10102.7,Partially Paid
INV00048,SR005,2024-01-22,2024-01-25,2024-03-10,18030.14,14354.2,3675.94,Partially Paid
INV00049,SR002,2025-04-05,2025-04-08,2025-05-08,13800.3,9203.88,4596.42,Partially Paid
