Invoice No,Customer ID,Invoice Date,Due Date,Invoice Amount,Amount Paid,Outstanding Amount
INV00001,CUST033,2023-01-07 00:00:00,2023-03-08 00:00:00,21082.65,5270.66,15811.99
INV00002,CUST033,2023-05-13 00:00:00,2023-06-12 00:00:00,24741.55,0,24741.55
INV00003,CUST061,2024-07-10 00:00:00,2024-09-08 00:00:00,22293.22,22293.22,0
INV00004,CUST051,2025-04-05 00:00:00,2025-05-05 00:00:00,9600.95,4800.48,4800.47
INV00005,CUST043,2025-01-30 00:00:00,2025-03-01 00:00:00,5281.58,2640.79,2640.79
INV00006,CUST101,2025-11-20 00:00:00,2025-12-20 00:00:00,12490.12,0,12490.12
INV00007,CUST012,2024-06-18 00:00:00,2024-08-02 00:00:00,18670.22,4667.56,14002.66
INV00008,CUST067,2024-03-01 00:00:00,2024-03-31 00:00:00,12567.94,3141.98,9425.96
INV00009,CUST065,2024-11-02 00:00:00,2024-12-02 00:00:00,12337.93,0,12337.93
INV00010,CUST033,2023-12-29 00:00:00,2024-01-28 00:00:00,21036.65,0,21036.65
INV00011,CUST040,2023-03-23 00:00:00,2023-05-22 00:00:00,9354.39,9354.39,0
INV00012,CUST074,2023-12-22 00:00:00,2024-01-21 00:00:00,21564.97,0,21564.97
INV00013,CUST043,2024-08-11 00:00:00,2024-10-10 00:00:00,10466.72,0,10466.72
INV00014,CUST044,2023-10-22 00:00:00,2023-11-21 00:00:00,8541.71,4270.85,4270.86
INV00015,CUST029,2025-12-05 00:00:00,2026-01-04 00:00:00,11622.75,8717.06,2905.69
INV00016,CUST013,2023-01-17 00:00:00,2023-03-03 00:00:00,19179.95,0,19179.95
INV00017,CUST012,2023-12-26 00:00:00,2024-02-24 00:00:00,3587.05,1793.52,1793.53
INV00018,CUST095,2025-05-15 00:00:00,2025-06-14 00:00:00,5312.27,0,5312.27
INV00019,CUST046,2024-11-30 00:00:00,2025-01-29 00:00:00,23810.4,0,23810.4
INV00020,CUST002,2024-03-23 00:00:00,2024-05-22 00:00:00,4799.54,0,4799.54
INV00021,CUST115,2025-05-05 00:00:00,2025-06-19 00:00:00,14409.32,14409.32,0
INV00022,CUST114,2023-12-31 00:00:00,2024-02-14 00:00:00,14693.2,0,14693.2
INV00023,CUST035,2024-11-05 00:00:00,2024-12-20 00:00:00,12495.8,0,12495.8
INV00024,CUST087,2025-10-04 00:00:00,2025-11-18 00:00:00,16296.26,4074.06,12222.2
INV00025,CUST081,2024-04-11 00:00:00,2024-05-26 00:00:00,6130.75,6130.75,0
INV00026,CUST090,2024-02-18 00:00:00,2024-04-03 00:00:00,14040.23,0,14040.23
INV00027,CUST008,2024-08-08 00:00:00,2024-09-22 00:00:00,9618.24,2404.56,7213.68
INV00028,CUST093,2025-09-20 00:00:00,2025-11-04 00:00:00,16710.85,0,16710.85
INV00029,CUST026,2024-07-25 00:00:00,2024-08-24 00:00:00,3959.98,990,2969.98
INV00030,CUST074,2023-12-01 00:00:00,2024-01-30 00:00:00,14486.5,7243.25,7243.25
INV00031,CUST090,2023-02-06 00:00:00,2023-03-23 00:00:00,5039.12,2519.56,2519.56
INV00032,CUST034,2025-09-15 00:00:00,2025-10-30 00:00:00,7326.76,0,7326.76
INV00033,CUST115,2023-10-05 00:00:00,2023-12-04 00:00:00,5858.39,0,5858.39
INV00034,CUST105,2025-07-04 00:00:00,2025-08-03 00:00:00,4979.53,0,4979.53
