Customer ID,Customer Name,Credit Limit,Segment,Country
CUST001,Customer 1,50000,Corporate,Malaysia
CUST002,Customer 2,75000,Corporate,Thailand
CUST003,Customer 3,30000,Wholesale,Malaysia
CUST004,Customer 4,75000,Corporate,Malaysia
CUST005,Customer 5,75000,Corporate,Malaysia
CUST006,Customer 6,20000,Wholesale,Singapore
CUST007,Customer 7,30000,Distributor,Singapore
CUST008,Customer 8,30000,Corporate,Singapore
CUST009,Customer 9,30000,Wholesale,Thailand
CUST010,Customer 10,75000,Retail,Vietnam
CUST011,Customer 11,50000,Distributor,Malaysia
CUST012,Customer 12,30000,Retail,Malaysia
CUST013,Customer 13,100000,Retail,Thailand
CUST014,Customer 14,75000,Wholesale,Malaysia
CUST015,Customer 15,20000,Corporate,Singapore
CUST016,Customer 16,50000,Wholesale,Vietnam
CUST017,Customer 17,100000,Wholesale,Indonesia
CUST018,Customer 18,100000,Wholesale,Malaysia
CUST019,Customer 19,20000,Wholesale,Singapore
CUST020,Customer 20,50000,Distributor,Indonesia
CUST021,Customer 21,75000,Corporate,Vietnam
CUST022,Customer 22,10000,Retail,Indonesia
CUST023,Customer 23,50000,Retail,Singapore
CUST024,Customer 24,20000,Corporate,Indonesia
CUST025,Customer 25,100000,Retail,Thailand
CUST026,Customer 26,75000,Corporate,Indonesia
CUST027,Customer 27,50000,Retail,Malaysia
CUST028,Customer 28,10000,Wholesale,Malaysia
CUST029,Customer 29,10000,Retail,Thailand
CUST030,Customer 30,30000,Corporate,Singapore
CUST031,Customer 31,30000,Corporate,Malaysia
CUST032,Customer 32,20000,Corporate,Vietnam
CUST033,Customer 33,50000,Corporate,Malaysia
CUST034,Customer 34,50000,Corporate,Malaysia
CUST035,Customer 35,100000,Distributor,Singapore
CUST036,Customer 36,100000,Distributor,Indonesia
CUST037,Customer 37,100000,Retail,Malaysia
CUST038,Customer 38,30000,Corporate,Thailand
CUST039,Customer 39,50000,Retail,Indonesia
CUST040,Customer 40,50000,Corporate,Vietnam
CUST041,Customer 41,10000,Corporate,Singapore
CUST042,Customer 42,30000,Distributor,Vietnam
CUST043,Customer 43,75000,Distributor,Indonesia
CUST044,Customer 44,30000,Wholesale,Indonesia
CUST045,Customer 45,75000,Distributor,Indonesia
CUST046,Customer 46,10000,Wholesale,Vietnam
CUST047,Customer 47,20000,Wholesale,Indonesia
CUST048,Customer 48,50000,Wholesale,Vietnam
CUST049,Customer 49,10000,Wholesale,Indonesia
CUST050,Customer 50,50000,Wholesale,Thailand
CUST051,Customer 51,100000,Retail,Indonesia
CUST052,Customer 52,20000,Distributor,Vietnam
CUST053,Customer 53,20000,Wholesale,Malaysia
CUST054,Customer 54,10000,Corporate,Indonesia
CUST055,Customer 55,20000,Distributor,Malaysia
CUST056,Customer 56,75000,Distributor,Thailand
CUST057,Customer 57,20000,Wholesale,Singapore
CUST058,Customer 58,50000,Retail,Thailand
CUST059,Customer 59,50000,Wholesale,Indonesia
CUST060,Customer 60,50000,Retail,Malaysia
CUST061,Customer 61,50000,Corporate,Malaysia
CUST062,Customer 62,75000,Distributor,Vietnam
CUST063,Customer 63,30000,Corporate,Malaysia
CUST064,Customer 64,100000,Retail,Vietnam
CUST065,Customer 65,10000,Retail,Singapore
CUST066,Customer 66,50000,Corporate,Indonesia
CUST067,Customer 67,20000,Retail,Vietnam
CUST068,Customer 68,50000,Corporate,Singapore
CUST069,Customer 69,20000,Distributor,Malaysia
CUST070,Customer 70,100000,Corporate,Malaysia
CUST071,Customer 71,100000,Distributor,Singapore
CUST072,Customer 72,100000,Corporate,Malaysia
CUST073,Customer 73,20000,Retail,Singapore
CUST074,Customer 74,50000,Corporate,Vietnam
CUST075,Customer 75,100000,Retail,Vietnam
CUST076,Customer 76,75000,Corporate,Singapore
CUST077,Customer 77,20000,Corporate,Vietnam
CUST078,Customer 78,20000,Wholesale,Vietnam
CUST079,Customer 79,50000,Retail,Vietnam
CUST080,Customer 80,20000,Wholesale,Thailand
CUST081,Customer 81,20000,Retail,Indonesia
CUST082,Customer 82,100000,Wholesale,Malaysia
CUST083,Customer 83,50000,Distributor,Thailand
CUST084,Customer 84,100000,Corporate,Vietnam
CUST085,Customer 85,100000,Retail,Singapore
CUST086,Customer 86,50000,Retail,Vietnam
CUST087,Customer 87,10000,Corporate,Indonesia
CUST088,Customer 88,100000,Retail,Vietnam
CUST089,Customer 89,75000,Retail,Singapore
CUST090,Customer 90,75000,Wholesale,Indonesia
CUST091,Customer 91,20000,Retail,Vietnam
CUST092,Customer 92,75000,Distributor,Indonesia
CUST093,Customer 93,20000,Distributor,Malaysia
CUST094,Customer 94,10000,Corporate,Malaysia
CUST095,Customer 95,50000,Retail,Vietnam
CUST096,Customer 96,50000,Corporate,Indonesia
CUST097,Customer 97,50000,Distributor,Singapore
CUST098,Customer 98,75000,Retail,Vietnam
CUST099,Customer 99,10000,Retail,Malaysia
CUST100,Customer 100,75000,Corporate,Malaysia
CUST101,Customer 101,75000,Distributor,Vietnam
CUST102,Customer 102,10000,Retail,Indonesia
CUST103,Customer 103,10000,Corporate,Malaysia
CUST104,Customer 104,10000,Distributor,Indonesia
CUST105,Customer 105,10000,Corporate,Malaysia
CUST106,Customer 106,50000,Wholesale,Malaysia
CUST107,Customer 107,30000,Retail,Thailand
CUST108,Customer 108,30000,Wholesale,Malaysia
CUST109,Customer 109,10000,Distributor,Singapore
CUST110,Customer 110,30000,Wholesale,Vietnam
CUST111,Customer 111,30000,Wholesale,Vietnam
CUST112,Customer 112,10000,Distributor,Indonesia
CUST113,Customer 113,30000,Corporate,Malaysia
CUST114,Customer 114,75000,Wholesale,Singapore
CUST115,Customer 115,20000,Corporate,Indonesia
CUST116,Customer 116,20000,Wholesale,Thailand
CUST117,Customer 117,10000,Corporate,Indonesia
CUST118,Customer 118,50000,Distributor,Indonesia
CUST119,Customer 119,10000,Wholesale,Malaysia
CUST120,Customer 120,50000,Distributor,Thailand
